Labdoo ID,Status,Hub,Edoovillage,Country,Serial number,Pick me up,Model,Date created,Wh,Dootrips,Notes
24239,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1642 - Congo (Kinshasa), Koka-Koli:  Petit  Seminaire | ACDC",Congo (Kinshasa),3G1NV3J,no,Dell vostro 1510,2020-08-12,56.055,#000001584,"gespendet von Leonie H. aus Dillingen / Donau, vielen Dank. "
24238,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1631 - Ghana, Ejura: Bemi Municipal Assembly Primary School | Ghana Cargo",Ghana,DTVJYEG0044030108F1800,no,Acer Veriton VX2630G,2020-08-12,0,#000001589,"gespendet von den WBD Wirtschaftsbetrieben Duisburg , vielen Dank."
24237,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 65719 Hofheim am Taunus: Tobias Schmidtke,"Edoovillage #1642 - Congo (Kinshasa), Koka-Koli:  Petit  Seminaire | ACDC",Congo (Kinshasa),YL4C006428,no,Fujitsu Celsius H700,2020-08-12,83.52,#000001584,"gespendet von Achim Sp. aus Frankfurt Main, vielen Dank. Reparatur und Ersatzteile (Lüftung, Monitorpanel) vom Förderverein Labdoo.org e.V."
24236,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 65719 Hofheim am Taunus: Tobias Schmidtke,"Edoovillage #1642 - Congo (Kinshasa), Koka-Koli:  Petit  Seminaire | ACDC",Congo (Kinshasa),B8N0BC312329335,no,Asus X53SC,2020-08-12,56.16,#000001584,"gespendet von Birgit K. / enterpriser GmbH aus Dreieich, vielen Dank. Reparatur und Ersatzteile (Strombuchse, FÉrsatz-Festplatte, Abdeckung Monitorrahmen) vom Förderverein Labdoo.org e.V."
24235,S4,Labdoo Hub Barcelona @I2CAT Campus Nord,"Edoovillage #1815 - Spain, Sant Cugat del Vallès: Escola Joan Maragall COVID-19-CAT",Spain,28203666-50000968,no,SONY Vaio VGN-T211XN_13,2020-08-12,0,,
24234,S2,Grassroots,,Spain,CZC745106Q,yes,HP Compaq dx2300,2020-08-12,0,,
24233,S0,Grassroots,,Spain,DMPJRNQPF18P,no,iPad 4 Wifi+3G,2020-08-12,0,,
24232,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1631 - Ghana, Ejura: Bemi Municipal Assembly Primary School | Ghana Cargo",Ghana,PSVCXE90172010DE789201,no,Acer Veriton X4610G,2020-08-12,0,#000001589,"gespendet von WBD Wirtschaftsbetriebe Duisburg , vielen Dank."
24231,S4,Labdoo Annahmestelle 90402 Nürnberg (Hub),"Edoovillage #1670 - Nicaragua, Managua: Stipendienprogramm Beca Enrique Schmidt | Puente Nica eV",Nicaragua,NXM8JEG0173450A9493400,no,Acer Aspire V5WE2,2020-08-12,0,,
24230,S2,Grassroots,,Spain,CZC8187YL4,yes,HP Compaq dc7800p,2020-08-12,0,,
24229,S4,Labdoo Hub CEWS (Corporate eWaste Solutions),"Edoovillage #1834 - Mexico, Tijuana: Rojo Gomez Church Learning Center (COVID-19-US)",Mexico,unknown,no,HP elitebook 8440p,2020-08-12,0,,
24228,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1631 - Ghana, Ejura: Bemi Municipal Assembly Primary School | Ghana Cargo",Ghana,DTVJYEG004403010931800,no,Acer Veriton VX2630G,2020-08-11,0,#000001589,"gespendet von den WBD Wirtschaftsbetrieben Duisburg , vielen Dank."
24227,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1835 - Germany, Dietzenbach: Förder- und Kulturverein Dietzenbach eV | COVID-19-DE",Germany,PC0JMFPZ,no,Lenovo ThinkPad T460,2020-08-11,71.28,#000001582,"gespendet von der CPC AG , Frankfurt /Main / Augsburg , vielen Dank. Ersatz-Festplatte gespendet vom Förderverein Labdoo.org e.V. "
24226,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1832 - Namibia, Otjiwarongo: Osire Secondary School | Donaly Malungu",Namibia,-,no,Acer Aspire 5738ZG,2020-08-11,48.84,#000001591,"gespendet von Marilen V. aus Stuttgart, vielen Dank."
24225,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1642 - Congo (Kinshasa), Koka-Koli:  Petit  Seminaire | ACDC",Congo (Kinshasa),CNU90260GJ,no,HP 550,2020-08-11,47.52,#000001584,"gespendet von Johannes L. aus Heubach, vielen Dank."
24224,S2,Grassroots,,Spain,CZC6160YXY,yes,HP Compaq dc7600,2020-08-11,0,,
24223,S0,Grassroots,,Spain,DN6FRB2TDFJ1,no,iPad 2 Wi-Fi + 3G,2020-08-11,0,,Donante Silvia C/ Barceñpma 441 St. Cugat
24222,S2,Grassroots,,Spain,0,yes,DATALAB,2020-08-11,0,,
24221,S6,Labdoo Annahmestelle 90402 Nürnberg (Hub),,Germany,n.a.,no,Samsung R510,2020-08-11,44,,
24220,S6,Labdoo Annahmestelle 90402 Nürnberg (Hub),,Germany,914W601DS0G7410A10FKS00,no,Medion MD96350,2020-08-10,72,,
24219,S4,Labdoo Annahmestelle 90402 Nürnberg (Hub),"Edoovillage #1670 - Nicaragua, Managua: Stipendienprogramm Beca Enrique Schmidt | Puente Nica eV",Nicaragua,LUS040B094830215FC2500,no,Acer Aspire One ZG5,2020-08-09,0,,
24218,S4,Labdoo Annahmestelle 90402 Nürnberg (Hub),"Edoovillage #1670 - Nicaragua, Managua: Stipendienprogramm Beca Enrique Schmidt | Puente Nica eV",Nicaragua,LXTZ9020160464B8F71601,no,Acer Travelmate 5742,2020-08-09,0,,
24217,S4,Labdoo Hub- Kingdom Builders Ministry,"Edoovillage #2098 - Ghana, SENCHI-FERRY: Planting People Growing Justice Leadership Institute",Ghana,C02Q237HGBWM,no,MacBook Pro,2020-08-09,0,,
24215,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1631 - Ghana, Ejura: Bemi Municipal Assembly Primary School | Ghana Cargo",Ghana,DTVJYEG004403010311800,no,Acer Veriton VX2630G,2020-08-09,0,#000001589,"gespendet von den WBD Wirtschaftsbetrieben Duisburg , vielen Dank."
24216,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1832 - Namibia, Otjiwarongo: Osire Secondary School | Donaly Malungu",Namibia,914AF01DS3G851001CAKS00,no,Medion Akoya P6613 MD97440,2020-08-09,63.36,#000001591,"aus der Sammelaktion WBD Wirtschaftsbetriebe Duisburg, vielen Dank."
24214,S4,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47059 Duisburg - Innenhafen: Wirtschaftsbetriebe Duisburg (H2Office),"Edoovillage #1631 - Ghana, Ejura: Bemi Municipal Assembly Primary School | Ghana Cargo",Ghana,DTVJYEG004403010771800,no,Acer Veriton VX2630G,2020-08-09,0,#000001589,"gespendet von den WBD Wirtschaftsbetrieben Duisburg , vielen Dank."
24213,S4,Labdoo Annahmestelle 63128 Dietzenbach: Amira Bieber | Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #1835 - Germany, Dietzenbach: Förder- und Kulturverein Dietzenbach eV | COVID-19-DE",Germany,LXB2000X011911069BD4900,no,Packard Bell Easynote Hera GL,2020-08-09,47.52,#000001582,"gespendet von Peter H. aus Dietzenbach, vielen Dank. Reparaturen und Ersatzteile (Befestigung I7O-Knopf, Lüfter, Ersatz-Festplatte) vom Förderverein Labdoo.org e.V."
