Edoovillage,Date created,Hubs,Needed (N),In transit (T),Delivered (D),Remaining (R = N-T-D),% Completed,Number of students,Status,Country,Completed
"Vietnam, Danang: support and help create  conditions for the blind community integration and employment career.",2013-11-08,Labdoo Hub Taipei @EWB-Taiwan,10,0,8,2,80,40,completed,Vietnam,1
"Bosnia and Herzegovina, Sarajevo: UZOPI support refugees and displaced persons",2013-10-03,Labdoo Annahmestelle 60487 Frankfurt am Main: [zur Zeit geschlossen],5,0,5,0,100,4,completed,Bosnia and Herzegovina,1
"Nigeria, Ubiaja: Nigeria, Ubiaja: St. John Boscos College",2013-11-05,Labdoo Annahmestelle 60487 Frankfurt am Main: [zur Zeit geschlossen],20,0,20,0,100,400,completed,Nigeria,1
"Spain, Sant Boi: Projecte de reinseció social al centre Salut Mental Sant Boi (Sant Joan de Deu)",2013-05-27,Labdoo Hub Zürich (Schweiz),11,0,11,0,100,100,completed,Spain,1
"Germany, Dinslaken: Friedensdorf Oberhausen, Lernhaus | COVID-19-DE",2013-02-06,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),5,0,5,0,100,150,completed,Germany,1
"Nepal, Chitwan: These computers will be used in our village libraries & schools",2013-11-12,Labdoo Hub California (South),12,3,6,3,75,500,completed,Nepal,1
"Bosnia and Herzegovina, Stolac: School in Stolac",2013-09-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,150,completed,Bosnia and Herzegovina,1
"Germany, Bochum: Die Brücke eV",2013-10-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,70,completed,Germany,1
"Germany, Gelsenkirchen: Förderverein Krebsberatung",2013-10-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),7,0,7,0,100,7,completed,Germany,1
"Germany, Essen: WAKIGA Waldkindergarten",2013-10-22,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,20,completed,Germany,1
"Germany, Essen: Storp9 Haus für Bildung und Kultur",2013-07-17,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),9,0,9,0,100,9,completed,Germany,1
"Kenya, Shiamusinjiri: The laptops will be used to educate local children with difficulties in the local school",2012-02-09,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],33,0,33,0,100,30,completed,Kenya,1
"Kyrgyzstan, Bishkek  city: Friedensdorf Pre-School education and Mobi project",2013-11-08,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),5,0,5,0,100,20,completed,Kyrgyzstan,1
"Malawi, Madisi: School in Madisi",2013-09-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,1000,completed,Malawi,1
"Cambodia, Phnom Penh: Comped Home",2013-09-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,45,completed,Cambodia,1
"Albania, Preza: school",2013-03-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,8,2,80,320,completed,Albania,1
"Romania, Roades / Radeln: Dorfschule Radeln - Peter Maffay Stiftung",2013-09-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,30,completed,Romania,1
"Romania, Roades / Radeln: Schutzburg Radeln - Peter Maffay Stiftung",2013-09-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,14,completed,Romania,1
"Bosnia and Herzegovina, Kakanj (Visoko): Primary school in Kakanj (Visoko)",2012-09-12,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),16,0,16,0,100,150,completed,Bosnia and Herzegovina,1
"Mexico, Tepetlampa, Municipio Zongolica: Primary school, TECNOLOGÍA PARA LOS NIÑOS DE TEPETLAMPA",2013-06-24,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,5,10,33,115,open,Mexico,0
"Bosnia and Herzegovina, Sarajevo: Bosnia Herzegovina, Sarajevo: Kinderkarawane Begabtenförderung für Waisen",2013-11-21,Labdoo Annahmestelle 60487 Frankfurt am Main: [zur Zeit geschlossen],10,0,10,0,100,10,completed,Bosnia and Herzegovina,1
"Bosnia and Herzegovina, Kladanj: Bosnia Herzegovina, Kladanj: Kinderkarawane für behinderte Kinder",2013-11-21,Labdoo Annahmestelle 60487 Frankfurt am Main: [zur Zeit geschlossen],5,0,5,0,100,60,completed,Bosnia and Herzegovina,1
"Spain, Barcelona: Provisioning of laptops for children in Centre Obert Eixample",2012-07-06,Labdoo Hub Barcelona @I2CAT Campus Nord,7,1,7,0,100,60,completed,Spain,1
"Bosnia and Herzegovina, Sapna: High School Sapna",2013-12-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),12,0,12,0,100,600,completed,Bosnia and Herzegovina,1
"Nicaragua, Tola: escuelita Tola",2013-09-13,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,45,completed,Nicaragua,1
"Bosnia and Herzegovina, RAVNO: UDRUENJE MLADIH ENA POVRATNIKA IVANICA-RAVNO",2013-12-06,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),5,0,5,0,100,20,completed,Bosnia and Herzegovina,1
