Edoovillage,Date created,Hubs,Needed (N),In transit (T),Delivered (D),Remaining (R = N-T-D),% Completed,Number of students,Status,Country,Completed
"Edoovillage #2841 - Mozambique, Maputo: Pädagogischen Universität in Maputo, organisiert vom Forum zum Austausch zwischen den Kulturen e.V.",2024-09-26,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],50,0,34,16,68,31700,open,Mozambique,0
"Edoovillage #2842 - Namibia, Gochas: Foundawtion Namibia",2024-09-27,Labdoo City Hub Sant Cugat ,1,1,0,0,100,60,open,Namibia,0
"Edoovillage #2843 - Tanzania, Arusha: Keep her in school project - Comfy Care12",2024-09-29,Labdoo Hub Zürich (Schweiz),10,0,4,6,40,20,completed,Tanzania,1
"Edoovillage #2844 - Tanzania, Pangani: Franciscan Girls Secondary School - Synesius",2024-09-29,Labdoo Hub Zürich (Schweiz),8,0,8,0,100,281,completed,Tanzania,1
"Edoovillage #2845 - India, Parganas: Sister Nivedita Educational Hub (SNEH)",2024-09-29,Labdoo Hub Zürich (Schweiz),15,0,15,0,100,85,completed,India,1
"Edoovillage #2846 - India, Panchetgarh: Be and Make - Panchet Vivekananda Yuva Mahamandal (PVYM)",2024-09-29,Labdoo Hub Zürich (Schweiz),5,0,5,0,100,70,completed,India,1
"Edoovillage #2847 - Ecuador, La Rinconada: Cielo Azul",2024-09-29,Labdoo Hub Zürich (Schweiz),16,0,0,16,0,227,completed,Ecuador,1
"Edoovillage #2848 - Congo (Kinshasa), Goma: KING'S INTERNATIONAL SCHOOL",2024-09-30,Labdoo City Hub Sant Cugat ,100,0,0,100,0,300,open,Congo (Kinshasa),0
"Edoovillage #2849 - Germany, Hamburg: Ausbildungsförderung für Migranten",2024-10-06,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],20,0,20,0,100,23,completed,Germany,1
"Edoovillage #2850 - Tanzania, Arusha: IMARIKA",2024-10-09,Labdoo City Hub Sant Cugat  | Labdoo Hub Zürich (Schweiz),6,0,2,4,33,20,completed,Tanzania,1
"Edoovillage #2851 - Indonesia, Sorong City: Ecoducation Atap Langit | IMPCT gGmbH",2024-10-10,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),12,0,0,12,0,24,open,Indonesia,0
"Edoovillage #2852 - Bolivia, Cochabamba: Stiftung Emanuel - Kinder mit Zukunft",2024-10-16,Labdoo Annahmestelle 80804 München (Hub),20,0,14,6,70,48,open,Bolivia,0
"Edoovillage #2853 - Kenya, Nairobi: Cresnet Tusome Early Years Hub",2024-10-16,Labdoo Annahmestelle 80804 München (Hub),2,0,2,0,100,100,completed,Kenya,1
"Edoovillage #2854 - Kenya, Nairobi: Diligent steps school",2024-10-16,Labdoo Annahmestelle 80804 München (Hub),1,0,1,0,100,150,completed,Kenya,1
"Edoovillage #2855 - Spain, Montilla: Colegio La Asunción",2024-10-16,Labdoo Hub Sabadell,70,0,59,11,84,240,open,Spain,0
"Edoovillage #2856 - Togo, Adjengré: CPC St Antoine de Padoue | Aktionskreis Fröhliches Kunterbunt eV",2024-10-17,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,30,0,100,252,completed,Togo,1
"Edoovillage #2857 - Tanzania, Arusha: ERIPOTO for girls and women",2024-10-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),6,0,6,0,100,35,completed,Tanzania,1
"Edoovillage #2858 - Cameroon, Douala-Cameroun:  Bepanda Multifunctional Center",2024-10-18,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],4,0,4,0,100,41,completed,Cameroon,1
"Edoovillage #2860 - Malawi, Lilongwe: Zikomo Foundation",2024-10-24,Labdoo Hub Zürich (Schweiz),20,0,10,10,50,120,open,Malawi,0
"Edoovillage #2861 - South Sudan, Juba: Salaam Bright Academy",2024-10-24,Labdoo Hub Zürich (Schweiz),50,0,50,0,100,400,completed,South Sudan,1
"Edoovillage #2862 - Ghana, Ketan - Sekondi: Youth Foundation Lab    | Ghana Union eV",2024-10-27,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),26,0,26,0,100,200,completed,Ghana,1
"Edoovillage #2863 - Tanzania, Ruvu Remit: Computerraum an der Engata Pre- and Primary School in Tansania (NGO MAPED) - Elatia e.V.",2024-10-28,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],30,10,0,20,33,140,open,Tanzania,0
"Edoovillage #2864 - Germany, Mülheim an der Ruhr: Erich Kästner Grundschule",2024-10-30,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,30,completed,Germany,1
"Edoovillage #2865 - Benin, Sedje Denou: CULTURA DIGITAL EN SEDJE-DENOU (BENIN )",2024-10-30,Labdoo City Hub Sant Cugat  | Labdoo School Hub Sant Cugat - Institut FP Sant Cugat,10,6,7,0,100,190,open,Benin,0
"Edoovillage #2866 - Ghana, Suma Ahenkro: Roman Catholic School Suma Ahenkro | Bielefelder Königskinder eV",2024-11-01,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,10,5,0,100,300,open,Ghana,0
"Edoovillage #2859 - Germany, Gardelegen: Kindertagesstätte Zwergenland",2024-11-11,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),8,0,8,0,100,53,completed,Germany,1
"Edoovillage #2867 - Ethiopia, Debre Markos: Hostel for the blind | Verein der Freunde Rotary Osterholz Leuchtfeuer eV",2024-11-17,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),5,0,0,5,0,70,open,Ethiopia,0
"Edoovillage #2868 - Kenya, Gazi:  Waisenhaus Swalha |  World of Peace eV",2024-11-17,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,60,completed,Kenya,1
"Edoovillage #2869 - Kenya, Tigoni: Gramabe Academy Primary School",2024-11-19,Labdoo Hub Zürich (Schweiz),3,0,3,0,100,250,completed,Kenya,1
"Edoovillage #2870 - Kenya, Nakuru: Jacaranda Girls Children’s Home",2024-11-19,Labdoo Hub Zürich (Schweiz),3,0,3,0,100,250,completed,Kenya,1
"Edoovillage #2871 - Chad, Bongor: CEDIAM Health Centre",2024-11-19,Labdoo Hub Zürich (Schweiz),3,0,3,0,100,250,completed,Chad,1
"Edoovillage #2872 - Spain, ALGEMESÍ: Col·legi d'Educació Infantil i Primària CARME MIQUEL  -  DANAESP",2024-11-21,Labdoo Hub Sabadell,10,0,10,0,100,150,completed,Spain,1
"Edoovillage #2873 - Uganda, Kasanga: St. Charles vocational secondary school",2024-11-23,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,10,5,66,502,open,Uganda,0
"Edoovillage #2874 - Germany, München: Initiative krebskranke Kinder München e.V.",2024-11-25,Labdoo Annahmestelle 80804 München (Hub),20,0,20,0,100,160,completed,Germany,1
"Edoovillage #2875 - Spain, Algemesí: Biblioteca Publica Municipal de Algemesí - DANA_ESP",2024-11-26,Labdoo Hub Sabadell,1,0,1,0,100,100,completed,Spain,1
"Edoovillage #2876 - Spain, Alfafar: Colegio Vamar afectación por la DANA. DANAESP",2024-12-02,Labdoo City Hub Sant Cugat ,5,0,5,0,100,400,completed,Spain,1
"Edoovillage #2877 - Congo (Kinshasa), Kinshasa:  CFPROM-LAU Centre de Formation professionnelle et d ́apprentissage des Metiers | Donaly Malungu | Aimons-nous vivants eV",2024-12-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),35,0,26,9,74,860,open,Congo (Kinshasa),0
"Edoovillage #2878 - Ghana, Bonya Koforidua: King of Glory School Lab | Ghana Union eV",2024-12-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),27,0,27,0,100,450,completed,Ghana,1
"Edoovillage #2879 - Myanmar, Tlangpi: Chinlung City Library and Learning Center",2024-12-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,13,17,43,50,open,Myanmar,0
"Edoovillage #2880 - Germany, München: GATE6 Messestadt München",2024-12-11,Labdoo Annahmestelle 80804 München (Hub) | Labdoo Annahmestelle 80939 München: Freimann,10,0,10,0,100,50,completed,Germany,1
"Edoovillage #2881 - Germany, Berlin: AWO Refugium für besonders schutzbedürftige Flüchtlinge Marie-Schlei-Haus",2024-12-11,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),25,0,25,0,100,100,completed,Germany,1
"Edoovillage #2882 - Uganda, Kasese: Mihunga community literacy center",2024-12-12,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,3,17,15,400,open,Uganda,0
"Edoovillage #2883 - Ghana, Kukurantumi: My Age My Help International",2024-12-15,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,30,0,100,756,open,Ghana,0
"Edoovillage #2884 - Togo, Atakpamé: Groupe de jeunes nommé EXCELLENCE | Donaly Malungu",2024-12-18,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,27,3,90,560,open,Togo,0
"Edoovillage #2885 - Denmark, Tastrup: Masanga Hospital Rehabilitation Project (Masanga DK)",2024-12-23,Labdoo Hub Sabadell,2,2,0,0,100,6,open,Denmark,0
"Edoovillage #2886 - Tanzania, Mafinga: Lutheran Vocational Training Centre | ENIDASO eV | RoSEC",2024-12-26,Labdoo Annahmestelle 14542 Werder: Jürgen Weinreich,2,2,0,0,100,100,open,Tanzania,0
"Edoovillage #2887 - Tanzania, Handeni: Lunguruni Primary School | ENIDASO eV | RoSEC",2024-12-26,Labdoo Annahmestelle 14542 Werder: Jürgen Weinreich,2,2,0,0,100,100,open,Tanzania,0
"Edoovillage #2888 - Philippines, Parañaque City: ACAP Action for the Care and Development of the Poor in the Philippines",2024-12-28,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,179,open,Philippines,0
"Edoovillage #2889 - Guinea, Télimélé: Berufsschule für Krankenpflegekräften und Hebammen | Misside Guinea e.V.",2024-12-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,50,completed,Guinea,1
"Edoovillage #2890 - Kenya, Kilifi: Arloste Ganze Academy",2025-01-02,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,20,completed,Kenya,1
"Edoovillage #2891 - Zambia, Masaitit,  Cooperbelt: KAFULAFUTA BOARDING SECONDARY SCHOOL",2025-01-03,Labdoo Annahmestelle 53173 Bonn: Ulrich Egger (Hub),25,0,25,0,100,400,completed,Zambia,1
"Edoovillage #2892 - Uganda, Bulwadda: Bulwadda Church of Uganda Primary School | SES",2025-01-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,300,open,Uganda,0
"Edoovillage #2893 - Uganda, Mpigi: Kasaka Primary School | SES",2025-01-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,300,open,Uganda,0
"Edoovillage #2894 - Nigeria, Benin: DOUBLE ENTRY - DO NOT USE: ENIS SCHOLARS ACADEMY",2025-01-05,Labdoo City Hub Sant Cugat  | Labdoo Hub Zürich (Schweiz),0,0,0,0,0,167,open,Nigeria,0
"Edoovillage #2895 - Nigeria,  Benin City Edo State: ENIS SCHOLARS ACADEMY",2025-01-07,Labdoo City Hub Sant Cugat  | Labdoo Hub Zürich (Schweiz),70,0,70,0,100,167,completed,Nigeria,1
"Edoovillage #2896 - Germany, Rosenheim: Schiller-Bildungszentrum e.V.",2025-01-08,Labdoo Annahmestelle 80804 München (Hub),49,0,49,0,100,60,completed,Germany,1
"Edoovillage #2897 - Germany, Frankfurt Main: FeM Mädchen*haus",2025-01-09,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 65719 Hofheim am Taunus: Tobias Schmidtke,5,0,5,0,100,40,completed,Germany,1
"Edoovillage #2898 - Sierra Leone, Free Town: Favour Childrens Foundation",2025-01-09,Labdoo Annahmestelle 80804 München (Hub),5,2,0,3,40,30,open,Sierra Leone,0
"Edoovillage #2899 - Cambodia, Svay Lor: Rumchek Appendix Andoung Phay Primary School | Köln hilft Kambodscha eV | Kneissl Touristik - Wasser für Kambodscha",2025-01-09,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),22,0,20,2,90,90,open,Cambodia,0
"Edoovillage #2900 - Ghana, Lake Bosomtwi: Methodist Primary and Junior High School Lab | Ghana Union eV",2025-01-09,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),25,0,25,0,100,243,completed,Ghana,1
"Edoovillage #2901 - Sierra Leone, Makeni City: 10 Billion Strong Sierra Leone Hub",2025-01-12,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,10,0,20,33,30,open,Sierra Leone,0
"Edoovillage #2902 - Tanzania, Monduli: Moringe Sokoine Secondary School",2025-01-13,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],20,0,20,0,100,0,open,Tanzania,0
"Edoovillage #2903 - Tanzania, Arusha: Drive Change Pre and Primary School | SES",2025-01-19,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],4,0,4,0,100,250,completed,Tanzania,1
"Edoovillage #2904 - Cuba, Municipio Colombia: Participación digital | Digitale Teilhabe",2025-01-20,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,2,completed,Cuba,1
"Edoovillage #2905 - Ghana, hohoe: Godenu Escuela de Municipal Assembly",2025-01-21,Labdoo Hub Manresa,25,0,0,25,0,246,open,Ghana,0
"Edoovillage #2906 - Congo (Kinshasa), Ville d'Uvira: Youth Skills Development through Digital Education Programme (YSDDEP)",2025-01-22,Labdoo City Hub Sant Cugat ,35,1,2,32,8,769,open,Congo (Kinshasa),0
"Edoovillage #2907 - Spain, Rivas: RIVAS-SAHEL Aulas 3.0 en campamentos saharauis",2025-01-23,Labdoo Hub Madrid - Indra,90,0,77,13,85,100,open,Spain,0
"Edoovillage #2908 - Nepal, Kathmandu: Kiran Kinderhaus in Nepal eV",2025-01-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,45,open,Nepal,0
"Edoovillage #2909 - Tanzania, Mbweni: Moja Foundation | Blessmanity Germany eV",2025-01-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,50,completed,Tanzania,1
"Edoovillage #2910 - Congo (Kinshasa), Kinshasa: Universite Technologique Bel Campus | Donaly Malungu",2025-01-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),32,0,32,0,100,1300,completed,Congo (Kinshasa),1
"Edoovillage #2911 - Namibia, Otjiwarongo: Redemption Kindergarden und Sion Parish Girls Club | LIA Support eV",2025-01-26,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],51,32,11,8,84,200,open,Namibia,0
"Edoovillage #2912 - Kenya, Kabarnet : BAMBA LAB",2025-01-28,Labdoo Annahmestelle 80804 München (Hub),20,0,11,9,55,90,open,Kenya,0
"Edoovillage #2913 - Cameroon,  Bafang: Middle School Saint Paul | AMICALE ASESAMIMEL",2025-02-04,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),29,0,29,0,100,1300,completed,Cameroon,1
"Edoovillage #2914 - Senegal, Mbackombel: Ecole privée Laïque de Mbackombel",2025-02-05,Labdoo City Hub Sant Cugat ,25,0,0,25,0,50,open,Senegal,0
"Edoovillage #2915 - Congo (Kinshasa), Kalehe: SOFADE Asbl",2025-02-05,Labdoo City Hub Sant Cugat ,41,0,3,38,7,2500,open,Congo (Kinshasa),0
"Edoovillage #2916 - Cameroon, Friango: Multipurpose Youth Common Initiative Group",2025-02-08,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,10,5,66,246,open,Cameroon,0
"Edoovillage #2917 - Togo, Lomé: Agopode",2025-02-11,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,20,open,Togo,0
"Edoovillage #2918 - Cameroon, Nkongsamba: STEM school for girls/ Summer training",2025-02-11,Labdoo City Hub Sant Cugat ,30,3,0,27,10,100,open,Cameroon,0
"Edoovillage #2919 - Spain, Beniajan: FCTAsoc y PlanJovMur",2025-02-11,Labdoo City Hub Sant Cugat ,20,0,0,20,0,100,open,Spain,0
"Edoovillage #2920 - Ghana, VOLTA REGION: God´s Divine Academy - YAWI Ghana",2025-02-12,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],6,0,6,0,100,400,open,Ghana,0
"Edoovillage #2921 - Bosnia and Herzegovina, Fojnica: Srednja mješovita škola Zijah Dizdarević / Gemischte Mittelschule | Leben und Lernen in Bosnien eV",2025-02-13,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),14,0,14,0,100,786,open,Bosnia and Herzegovina,0
"Edoovillage #2922 - Burkina Faso, Ouagadougou: Girls Education at primary school in Ouagadougou | TuaRes Stiftung",2025-02-13,Labdoo Annahmestelle 80804 München (Hub),35,0,0,35,0,35,open,Burkina Faso,0
"Edoovillage #2923 - Uganda, Kamuli Municipality: Kamuli Innovation Hub",2025-02-13,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),21,0,16,5,76,70,open,Uganda,0
"Edoovillage #2924 - Cameroon, Ngaoundéré: Grundschule / Waisenhaus Star of Hope | ASEED | Pro Interplast eV",2025-02-13,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),5,0,2,3,40,200,open,Cameroon,0
"Edoovillage #2925 - Nigeria, Ibadan: AKHIN Foundation Self-Learning Centre",2025-02-14,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),16,0,15,1,93,46,completed,Nigeria,1
"Edoovillage #2926 - South Africa, Johannesburg: Berea-Hillbrow Home of Hope for Girls",2025-02-17,Labdoo Annahmestelle 80804 München (Hub),4,1,7,0,100,80,open,South Africa,0
"Edoovillage #2927 - Nepal, Solududhakaunda Municipality : Shree Garma Secondary School",2025-02-24,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),20,0,20,0,100,518,completed,Nepal,1
"Edoovillage #2928 - Nepal, Kathmandu: Haus der Hoffnung",2025-02-24,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),7,0,4,3,57,0,completed,Nepal,1
"Edoovillage #2929 - Nepal, Mahakalung: Khiraule Secondary School",2025-02-24,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),15,0,15,0,100,0,completed,Nepal,1
"Edoovillage #2931 - Nepal, Merangding: Baleshwar Secondary School Merangding",2025-02-24,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),20,0,16,4,80,0,open,Nepal,0
"Edoovillage #2531 - Nepal, Serlo Monastery: Serlo Monastery",2025-02-25,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),10,0,7,3,70,0,open,Nepal,0
"Edoovillage #2930 - Nepal, Taksindu: Takgon Sha-drub Tharling Monastery",2025-02-25,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),8,0,7,1,87,0,open,Nepal,0
"Edoovillage #2932 - Sierra Leone, Freetown: REAPS Technical Vocational Training Center | Coworkers",2025-02-26,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,80,completed,Sierra Leone,1
"Edoovillage #2933 - Senegal, Ibel: Waxtan digital",2025-02-27,Labdoo City Hub Sant Cugat ,25,3,0,22,12,25,open,Senegal,0
"Edoovillage #2934 - India, Tung: YadavRao Wadekar Primary Ashram School, Tung",2025-02-28,Labdoo City Hub Sant Cugat ,10,0,3,7,30,258,open,India,0
"Edoovillage #2935 - Zimbabwe, Guruve: KIDZ ZONE ECD CENTER",2025-03-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,45,completed,Zimbabwe,1
"Edoovillage #2936 - Ukraine, Odessa: Lyceum 23",2025-03-10,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),40,0,40,0,100,700,completed,Ukraine,1
"Edoovillage #2937 - Uganda, Magooli: MAGOOLI CHILDREN’S EDUCATION CENTER- NAMAYINGO( UGANDA)",2025-03-12,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],30,6,4,20,33,520,open,Uganda,0
"Edoovillage #2938 - Ghana, Nyame Bekyere: Nyame Bekyere D/A Basic | Ghana Union eV",2025-03-20,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),19,0,19,0,100,210,completed,Ghana,1
"Edoovillage #2939 - Ghana, Manso Amenfi: Anwiafutu School Computer Lab  | Ghana Union eV",2025-03-20,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,30,0,100,139,completed,Ghana,1
"Edoovillage #2940 - Kenya, Ukanda: Stipendiaten-Programm Ukunda-Hilfe eV",2025-03-22,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,10,completed,Kenya,1
"Edoovillage #2941 - Tanzania, Ilemela city: Mwanza Youth and Children Network MYCN",2025-03-24,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,0,15,0,40,open,Tanzania,0
"Edoovillage #2942 - Pakistan, ahore, Punjab, Pakistan: Adhoc Pak",2025-03-25,Labdoo Hub AUCOOP UPC | Labdoo Hub Barcelona @I2CAT Campus Nord,10,0,2,8,20,10,open,Pakistan,0
"Edoovillage #2943 - South Africa, Xitlhelani Village: Amandla Computer Solar Lab",2025-03-26,Labdoo Hub Sabadell,17,11,0,6,64,137,open,South Africa,0
"Edoovillage #2944 - Tanzania, Njombe: Ilowola Secondary School | SES",2025-03-28,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),4,0,4,0,100,198,completed,Tanzania,1
"Edoovillage #2945 - Uganda, Ntinda Village: Pagolac School | Social Skies eV",2025-03-29,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),18,0,6,12,33,104,open,Uganda,0
"Edoovillage #2946 - Paraguay, Dr Moisés Santiago Bertoni 060401: Colegio Municipio de Moises S. Bertoni",2025-03-29,Labdoo Hub Sabadell,12,0,2,10,16,104,open,Paraguay,0
"Edoovillage #2947 - Bosnia and Herzegovina, Živinice: JU GIMNAZIJA ŽIVINICE | Leben und Lernen in Bosnien eV",2025-03-30,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,216,open,Bosnia and Herzegovina,0
"Edoovillage #2948 - Bosnia and Herzegovina, Jajce: JU Osnovna škola Jajce | Leben und Lernen in Bosnien eV",2025-03-30,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,325,open,Bosnia and Herzegovina,0
"Edoovillage #2949 - Bosnia and Herzegovina, Prača: JU Osnovna škola Prača | Leben und Lernen in Bosnien eV",2025-03-30,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,69,open,Bosnia and Herzegovina,0
"Edoovillage #2950 - Namibia, Windhoek: Special Olympics Namibia",2025-03-31,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],20,0,5,15,25,70,open,Namibia,0
"Edoovillage #2951 - Togo, Kara: Bildungshaus Saint Joseph Freinademetz | Aktionskreis Fröhliches Kunterbunt eV",2025-04-02,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,20,0,100,17,completed,Togo,1
"Edoovillage #2952 - Sierra Leone, Masingbi: Rural Initiative for Community Transformation RICT-SL",2025-04-02,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),14,14,0,0,100,78,completed,Sierra Leone,1
"Edoovillage #2953 - Germany, Mülheim an der Ruhr: Städt. Realschule an der Mellinghofer Straße",2025-04-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,10,completed,Germany,1
"Edoovillage #2954 - Kenya, Kericho: Chepkolon Green Highlands School | La Fondation AFLÉ",2025-04-06,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),18,0,18,0,100,50,completed,Kenya,1
"Edoovillage #2955 - Cameroon, Buea: Muanekep Youth training centre",2025-04-06,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),28,0,10,18,35,60,completed,Cameroon,1
"Edoovillage #2956 - Argentina, Buenos Aires: Escuela Roque Sáenz Peña",2025-04-10,Labdoo City Hub Sant Cugat ,11,2,0,9,18,9,open,Argentina,0
"Edoovillage #2957 - Germany, Bottrop: Regenbogen Tageseinrichtung für Kinder eV",2025-04-21,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,103,completed,Germany,1
"Edoovillage #2958 - Ghana, Assin Darmang: Assin Darmang SHS School | Ghana Union eV",2025-04-27,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),30,0,30,0,100,464,completed,Ghana,1
"Edoovillage #2959 - Ghana, Nkontompo: AME Zion Basic School | Ghana Union eV",2025-04-27,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),29,0,29,0,100,620,completed,Ghana,1
"Edoovillage #2960 - Namibia, Windhoek: The Church Alliance for Orphans ( CAFO) – ICT HUB",2025-04-27,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],30,0,10,20,33,140,open,Namibia,0
"Edoovillage #2961 - Italy, Castel del Piano: Linux teaching",2025-05-02,Labdoo Hub Zürich (Schweiz),10,0,10,0,100,10,completed,Italy,1
"Edoovillage #2962 - Ghana, Gbi Godenu: Godenu Basic School | Help Godenu | Royal Order of the Lion",2025-05-05,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),25,0,25,0,100,435,completed,Ghana,1
"Edoovillage #2963 - Zambia, Wusakile,Kitwe: Chamboli Secondary school",2025-05-06,Labdoo Annahmestelle 53173 Bonn: Ulrich Egger (Hub),30,0,30,0,100,3138,open,Zambia,0
"Edoovillage #2964 - Zambia, Ndola: KANSENSHI SECONDARY SCHOOL",2025-05-06,Labdoo Annahmestelle 53173 Bonn: Ulrich Egger (Hub),31,0,31,0,100,2221,open,Zambia,0
"Edoovillage #2965 - Uganda, Rhino Camp: Basic ICT Skills Training | Community Creativity for Development (CC4D)",2025-05-06,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,0,20,0,35,open,Uganda,0
"Edoovillage #2966 - Ecuador, Ambato: Hogar Santa Marianita",2025-05-08,Labdoo City Hub Sant Cugat ,4,1,0,3,25,40,open,Ecuador,0
"Edoovillage #2967 - Ghana, Dodowa: Ghanafriends association",2025-05-15,Labdoo Hub Zürich (Schweiz),17,0,17,0,100,17,completed,Ghana,1
"Edoovillage #2968 - Congo (Kinshasa), Kikwit: CENTRE DE FORMATION PROFESSIONNELLE DEMULE",2025-05-17,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,200,open,Congo (Kinshasa),0
"Edoovillage #2969 - Tanzania, Kitopeni: Njota Nyema Primary School Bagamoyo",2025-05-17,Labdoo Annahmestelle 22999 Hamburg: Winterhude [Hub],22,0,22,0,100,125,open,Tanzania,0
"Edoovillage #2970 - Spain, Vic: Proyecto Impulsa",2025-05-19,Labdoo City Hub Sant Cugat ,70,0,30,40,42,340,open,Spain,0
"Edoovillage #2971 - Tanzania, Mwanza: Computerroom Butimba Primary School",2025-05-28,Labdoo Annahmestelle 97084 Würzburg: Thomas Barcatta - Mwanza e.V.,19,0,19,0,100,500,open,Tanzania,0
"Edoovillage #2972 - Germany, Berlin: GVL - gemeinsam Vielfalt leben",2025-05-28,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),20,0,19,1,95,69,open,Germany,0
